"age","item","definition","uni_lemma","learned","IPA","length","freq","PAC_assoc","PAT_assoc","PAC_phono_t1","PAT_phono_t1","PAC_phono_t2","PAT_phono_t2","PAC_phono_nt","PAT_phono_nt"
16,13,"abe","monkey",0,"abə",3,5.940171253,2,NA,0,NA,11,NA,1662,NA
16,14,"gås","goose",0,"ɡɒs",3,4.317488114,1,NA,0,NA,13,NA,1702,NA
16,15,"løve","lion",0,"lœʋə",4,6.001414878,3,NA,0,NA,3,NA,1685,NA
16,16,"and","duck",0,"an",2,6.411818268,1,NA,4,NA,22,NA,1674,NA
16,17,"hane",NA,0,"hanə",4,NA,NA,NA,2,NA,14,NA,1644,NA
16,18,"mus","mouse",0,"mʔus",4,6.086774727,4,NA,1,NA,8,NA,1609,NA
16,19,"bamse","teddybear",0,"bɑmsə",5,1.098612289,NA,NA,0,NA,4,NA,1744,NA
16,20,"hest","horse",0,"hεst",4,6.843749949,4,NA,0,NA,1,NA,1717,NA
16,21,"myg",NA,0,"mʔyɡ",4,NA,NA,NA,0,NA,2,NA,1672,NA
16,22,"bi","bee",0,"bʔi",3,4.691347882,0,NA,1,NA,8,NA,1588,NA
16,24,"myre",NA,0,"myʔʌ",4,NA,NA,NA,0,NA,1,NA,1649,NA
16,25,"bjørn","bear",0,"bjʔœɐ̯n",6,6.257667588,2,NA,0,NA,0,NA,2069,NA
16,26,"hvalp","puppy",0,"ʋalp",4,4.820281566,1,NA,0,NA,6,NA,1702,NA
16,27,"pingvin","penguin",0,"pʔeŋʋʔin",8,3.737669618,0,NA,0,NA,0,NA,2240,NA
16,28,"dyr","animal",0,"dʔyɐ̯",4,5.648974238,23,NA,1,NA,3,NA,1775,NA
16,29,"hund","dog",0,"hʔun",4,7.332369206,10,NA,2,NA,12,NA,1617,NA
16,31,"egern","squirrel",0,"ʔejʌɐ̯n",6,4.418840608,1,NA,0,NA,0,NA,2143,NA
16,32,"høne",NA,0,"hœnə",4,NA,NA,NA,1,NA,5,NA,1683,NA
16,33,"skildpadde","turtle",0,"skʔelpaðə",9,5.493061443,0,NA,0,NA,0,NA,2356,NA
16,34,"elefant","elephant",0,"eləfant",7,5.918893854,1,NA,0,NA,0,NA,2142,NA
16,36,"sommerfugl","butterfly",0,"sʔʌmʔʌfʔul",10,4.605170186,0,NA,0,NA,0,NA,2698,NA
16,37,"fisk (animal)","fish (animal)",0,"fʔesk",5,6.705639095,6,NA,4,NA,6,NA,3392,NA
16,38,"kanin","bunny",0,"kanʔin",6,6.376726948,1,NA,0,NA,1,NA,1850,NA
